KÛd ADM;KÛd obce;N·zev obce;N·zev MOMC;N·zev MOP;KÛd Ë·sti obce;N·zev Ë·sti obce;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
6011888;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;68;;;27351;763596.58;1040408.34;2013-12-05T00:00:00
6011896;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;69;;;27351;763590.52;1040403.58;2013-12-05T00:00:00
6011900;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;70;;;27351;763564.94;1040394.20;2013-12-05T00:00:00
6011918;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;71;;;27351;763551.51;1040362.95;2013-12-05T00:00:00
6011926;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;72;;;27351;763547.56;1040349.65;2013-12-05T00:00:00
6011934;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;73;;;27351;763547.56;1040336.48;2013-12-05T00:00:00
6011942;533017;Unhoöù;;;174491;Unhoöù;Jungmannova;Ë.p.;74;;;27351;763571.95;1040314.36;2013-12-05T00:00:00
6011951;533017;Unhoöù;;;174491;Unhoöù;Na Hr·dku;Ë.p.;75;;;27351;763670.81;1040416.01;2013-12-05T00:00:00
6011969;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;76;;;27351;763667.38;1040442.18;2013-12-05T00:00:00
6011977;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;77;;;27351;763744.84;1040436.42;2013-12-05T00:00:00
6011985;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;78;;;27351;763688.34;1040425.51;2013-12-05T00:00:00
6011993;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;79;;;27351;763684.57;1040401.13;2013-12-05T00:00:00
6012001;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;80;;;27351;763700.66;1040387.44;2013-12-05T00:00:00
6012019;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;81;;;27351;763698.82;1040377.17;2013-12-05T00:00:00
6012027;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;82;;;27351;763697.76;1040370.98;2013-12-05T00:00:00
6012035;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;83;;;27351;763696.84;1040356.63;2013-12-05T00:00:00
6012043;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;84;;;27351;763696.18;1040345.17;2013-12-05T00:00:00
6012051;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;85;;;27351;763697.63;1040333.85;2013-12-05T00:00:00
6012060;533017;Unhoöù;;;174491;Unhoöù;Sp·len·;Ë.p.;86;;;27351;763705.35;1040303.27;2013-12-05T00:00:00
6012078;533017;Unhoöù;;;174491;Unhoöù;K¯ivokl·tsk·;Ë.p.;87;;;27351;763728.02;1040305.65;2013-12-05T00:00:00
6012086;533017;Unhoöù;;;174491;Unhoöù;K¯ivokl·tsk·;Ë.p.;88;;;27351;763741.20;1040283.46;2013-12-05T00:00:00
6012094;533017;Unhoöù;;;174491;Unhoöù;Tyröovo n·mÏstÌ;Ë.p.;89;;;27351;763711.74;1040283.42;2013-12-05T00:00:00
6012108;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;90;;;27351;763724.93;1040269.60;2013-12-05T00:00:00
6012116;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;91;;;27351;763748.53;1040269.07;2013-12-05T00:00:00
6012124;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;92;;;27351;763757.45;1040238.51;2013-12-05T00:00:00
6012132;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;93;;;27351;763765.75;1040202.69;2013-12-05T00:00:00
6012141;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;94;;;27351;763747.61;1040210.22;2013-12-05T00:00:00
6012159;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;95;;;27351;763724.01;1040227.73;2013-12-05T00:00:00
6012167;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;96;;;27351;763718.20;1040246.95;2013-12-05T00:00:00
6012175;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;97;;;27351;763708.18;1040253.67;2013-12-05T00:00:00
6012183;533017;Unhoöù;;;174491;Unhoöù;Tyröovo n·mÏstÌ;Ë.p.;98;;;27351;763705.41;1040211.14;2013-12-05T00:00:00
6012191;533017;Unhoöù;;;174491;Unhoöù;Tyröovo n·mÏstÌ;Ë.p.;99;;;27351;763674.42;1040210.35;2013-12-05T00:00:00
6012205;533017;Unhoöù;;;174491;Unhoöù;Tyröovo n·mÏstÌ;Ë.p.;100;;;27351;763637.89;1040252.74;2013-12-05T00:00:00
6012213;533017;Unhoöù;;;174491;Unhoöù;Na BÌlÈ pÏöinÏ;Ë.p.;101;;;27351;763617.19;1040259.06;2013-12-05T00:00:00
6012221;533017;Unhoöù;;;174491;Unhoöù;Jungmannova;Ë.p.;102;;;27351;763604.26;1040264.59;2013-12-05T00:00:00
6012230;533017;Unhoöù;;;174491;Unhoöù;V Zahrad·ch;Ë.p.;103;;;27351;763855.17;1039837.21;2013-12-05T00:00:00
6012248;533017;Unhoöù;;;174491;Unhoöù;Jungmannova;Ë.p.;104;;;27351;763556.00;1040299.75;2013-12-05T00:00:00
6012256;533017;Unhoöù;;;174491;Unhoöù;Jungmannova;Ë.p.;105;;;27351;763529.09;1040313.97;2013-12-05T00:00:00
6012264;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;106;;;27351;763510.10;1040339.62;2013-12-05T00:00:00
6012272;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;107;;;27351;763497.84;1040341.87;2013-12-05T00:00:00
6012281;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;108;;;27351;763482.18;1040346.46;2013-12-05T00:00:00
6012299;533017;Unhoöù;;;174491;Unhoöù;n·m. T. G. Masaryka;Ë.p.;109;;;27351;763459.19;1040354.35;2013-12-05T00:00:00
6012302;533017;Unhoöù;;;174491;Unhoöù;Berounsk·;Ë.p.;110;;;27351;763790.14;1040562.83;2013-12-05T00:00:00
6012311;533017;Unhoöù;;;174491;Unhoöù;Berounsk·;Ë.p.;111;;;27351;763782.49;1040549.09;2013-12-05T00:00:00
6012329;533017;Unhoöù;;;174491;Unhoöù;Berounsk·;Ë.p.;112;;;27351;763776.83;1040543.01;2013-12-05T00:00:00
6012337;533017;Unhoöù;;;174491;Unhoöù;U KluziötÏ;Ë.p.;113;;;27351;763801.22;1040517.77;2013-12-05T00:00:00
6012353;533017;Unhoöù;;;174491;Unhoöù;U KluziötÏ;Ë.p.;115;;;27351;763770.23;1040516.71;2013-12-05T00:00:00
6012361;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;116;;;27351;763743.56;1040496.77;2013-12-05T00:00:00
6012370;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;117;;;27351;763723.34;1040490.25;2013-12-05T00:00:00
6012388;533017;Unhoöù;;;174491;Unhoöù;Na Trûiöti;Ë.p.;118;;;27351;763700.44;1040686.46;2013-12-05T00:00:00
6012396;533017;Unhoöù;;;174491;Unhoöù;Karlovarsk·;Ë.p.;119;;;27351;763995.58;1040121.40;2013-12-05T00:00:00
6012400;533017;Unhoöù;;;174491;Unhoöù;Melicharova;Ë.p.;120;;;27351;763712.97;1040502.36;2013-12-05T00:00:00
