Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
418391;593401;Nemotice;;;103250;Nemotice;;и.p.;93;;;68333;561489.99;1171885.19;2013-12-04T00:00:00
418404;593401;Nemotice;;;103250;Nemotice;;и.p.;94;;;68333;561491.09;1171930.43;2013-12-04T00:00:00
418412;593401;Nemotice;;;103250;Nemotice;;и.p.;95;;;68333;561583.30;1172044.63;2013-12-04T00:00:00
418421;593401;Nemotice;;;103250;Nemotice;;и.p.;96;;;68333;561303.68;1172260.14;2013-12-04T00:00:00
418439;593401;Nemotice;;;103250;Nemotice;;и.p.;97;;;68333;561574.31;1172283.55;2013-12-04T00:00:00
418447;593401;Nemotice;;;103250;Nemotice;;и.p.;98;;;68333;561304.51;1172134.54;2013-12-04T00:00:00
418455;593401;Nemotice;;;103250;Nemotice;;и.p.;99;;;68333;561324.70;1172141.82;2013-12-04T00:00:00
418463;593401;Nemotice;;;103250;Nemotice;;и.p.;100;;;68333;562046.30;1171265.96;2013-12-04T00:00:00
418471;593401;Nemotice;;;103250;Nemotice;;и.p.;101;;;68333;562160.95;1171446.73;2013-12-04T00:00:00
418480;593401;Nemotice;;;103250;Nemotice;;и.p.;102;;;68333;562022.89;1171419.12;2013-12-04T00:00:00
418498;593401;Nemotice;;;103250;Nemotice;;и.p.;103;;;68333;561389.54;1171827.28;2013-12-04T00:00:00
418501;593401;Nemotice;;;103250;Nemotice;;и.p.;104;;;68333;561607.63;1172208.88;2013-12-04T00:00:00
418510;593401;Nemotice;;;103250;Nemotice;;и.p.;105;;;68333;561303.43;1172144.35;2013-12-04T00:00:00
418528;593401;Nemotice;;;103250;Nemotice;;и.p.;106;;;68333;561618.61;1171774.87;2013-12-04T00:00:00
418536;593401;Nemotice;;;103250;Nemotice;;и.p.;107;;;68333;561534.81;1171836.17;2013-12-04T00:00:00
418544;593401;Nemotice;;;103250;Nemotice;;и.p.;108;;;68333;561505.21;1171764.37;2013-12-04T00:00:00
418552;593401;Nemotice;;;103250;Nemotice;;и.p.;109;;;68333;561561.62;1171844.74;2013-12-04T00:00:00
418561;593401;Nemotice;;;103250;Nemotice;;и.p.;110;;;68333;561486.00;1171893.00;2013-12-04T00:00:00
418579;593401;Nemotice;;;103250;Nemotice;;и.p.;111;;;68333;561308.18;1172240.44;2013-12-04T00:00:00
418587;593401;Nemotice;;;103250;Nemotice;;и.p.;112;;;68333;561641.83;1171753.53;2013-12-04T00:00:00
418595;593401;Nemotice;;;103250;Nemotice;;и.p.;113;;;68333;561285.43;1172261.32;2013-12-04T00:00:00
418609;593401;Nemotice;;;103250;Nemotice;;и.p.;114;;;68333;562097.15;1171251.56;2013-12-04T00:00:00
418617;593401;Nemotice;;;103250;Nemotice;;и.p.;115;;;68333;561375.89;1171933.07;2013-12-04T00:00:00
418625;593401;Nemotice;;;103250;Nemotice;;и.p.;116;;;68333;561613.06;1171994.45;2013-12-04T00:00:00
418633;593401;Nemotice;;;103250;Nemotice;;и.p.;117;;;68333;561288.03;1172250.35;2013-12-04T00:00:00
418641;593401;Nemotice;;;103250;Nemotice;;и.p.;118;;;68333;561651.55;1171940.53;2013-12-04T00:00:00
418650;593401;Nemotice;;;103250;Nemotice;;и.p.;119;;;68333;561645.07;1171788.70;2013-12-04T00:00:00
418668;593401;Nemotice;;;103250;Nemotice;;и.p.;120;;;68333;561613.31;1171808.03;2013-12-04T00:00:00
418676;593401;Nemotice;;;103250;Nemotice;;и.p.;121;;;68333;561380.09;1171929.01;2013-12-04T00:00:00
418684;593401;Nemotice;;;103250;Nemotice;;и.p.;122;;;68333;561615.62;1172173.56;2013-12-04T00:00:00
418692;593401;Nemotice;;;103250;Nemotice;;и.p.;123;;;68333;561849.87;1171509.16;2013-12-04T00:00:00
418706;593401;Nemotice;;;103250;Nemotice;;и.p.;124;;;68333;561843.84;1171521.43;2013-12-04T00:00:00
418714;593401;Nemotice;;;103250;Nemotice;;и.p.;125;;;68333;;;2011-07-01T00:00:00
418722;593401;Nemotice;;;103250;Nemotice;;и.p.;126;;;68333;561858.02;1171497.17;2013-12-04T00:00:00
418731;593401;Nemotice;;;103250;Nemotice;;и.p.;127;;;68333;561837.49;1171531.90;2013-12-04T00:00:00
418749;593401;Nemotice;;;103250;Nemotice;;и.p.;128;;;68333;561747.09;1171664.09;2013-12-04T00:00:00
